País,Año_Compra,Total_Compradores,Gasto_USD_Total,Gasto_USD_Promedio,Items_Total,Items_Promedio,Edad_Promedio,Ingreso_Prom_USD,Distancia_Prom_km,Tiempo_Busq_Prom,Pct_Recomienda,Pct_Primera_Vez,Pct_Satisfechos,Canal_Mas_Frecuente,Categoria_Top,Motivacion_Top,Genero_Predominante,Plataforma_Top
Bolivia,2010,10,443.83,44.38,45,4.5,25.9,1114.1,4.4,42.3,80.0,0.0,70.0,Mercado físico,Calzado,Sostenibilidad ambiental,Masculino,TikTok
Bolivia,2011,9,404.37,44.93,43,4.78,26.56,1087.0,3.28,27.44,66.67,0.0,77.78,Mercado físico,Ropa vintage,Ahorro económico,Femenino,TikTok
Bolivia,2012,13,632.4,48.65,53,4.08,26.92,963.62,6.81,33.15,69.23,15.38,46.15,Mercado físico,Ropa formal,Ahorro económico,Masculino,WhatsApp
Bolivia,2013,14,769.46,54.96,63,4.5,30.43,1147.21,3.14,34.0,85.71,21.43,50.0,Mercado físico,Ropa formal,Ahorro económico,Femenino,WhatsApp
Bolivia,2014,19,968.57,50.98,87,4.58,29.95,1134.11,4.39,28.89,94.74,5.26,57.89,Tienda online,Calzado,Ahorro económico,Femenino,Facebook
Bolivia,2015,7,370.03,52.86,35,5.0,31.71,892.14,2.77,34.86,57.14,0.0,42.86,Mercado físico,Ropa deportiva,Ahorro económico,Femenino,Instagram
Bolivia,2016,18,1015.67,56.43,88,4.89,32.56,1058.17,4.3,30.22,77.78,11.11,61.11,Aplicación móvil,Ropa casual,Ahorro económico,Femenino,TikTok
Bolivia,2017,19,1102.22,58.01,89,4.68,33.05,1228.74,5.91,24.21,78.95,5.26,42.11,Mercado físico,Ropa formal,Ahorro económico,Femenino,Instagram
Bolivia,2018,23,1217.97,52.96,128,5.57,26.0,1042.04,3.85,24.7,73.91,8.7,43.48,Mercado físico,Calzado,Ahorro económico,Femenino,Instagram
Bolivia,2019,32,1705.8,53.31,185,5.78,28.75,1034.94,5.29,32.88,90.62,15.62,62.5,Aplicación móvil,Ropa formal,Ahorro económico,Femenino,TikTok
Bolivia,2020,21,1209.11,57.58,98,4.67,28.33,1137.05,4.27,39.67,66.67,19.05,47.62,Tienda online,Ropa casual,Sostenibilidad ambiental,Femenino,Facebook
Bolivia,2021,36,2260.25,62.78,195,5.42,28.72,1140.44,4.51,29.78,72.22,27.78,61.11,Tienda online,Ropa de diseñador,Sostenibilidad ambiental,Femenino,TikTok
Bolivia,2022,43,2776.71,64.57,212,4.93,28.33,1092.07,4.69,31.37,88.37,23.26,53.49,Tienda online,Calzado,Ahorro económico,Femenino,TikTok
Bolivia,2023,40,2456.23,61.41,205,5.12,27.0,1032.45,5.3,29.98,72.5,17.5,70.0,Redes sociales,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Bolivia,2024,38,2363.98,62.21,192,5.05,31.34,1100.37,4.93,33.61,86.84,18.42,71.05,Tienda online,Ropa de diseñador,Ahorro económico,Masculino,TikTok
Bolivia,2025,54,3568.8,66.09,299,5.54,25.15,1044.17,4.12,29.94,79.63,11.11,68.52,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
Bolivia,2026,43,2999.97,69.77,226,5.26,29.95,1047.81,4.36,28.07,69.77,13.95,65.12,Aplicación móvil,Ropa vintage,Ahorro económico,Femenino,Instagram
Chile,2000,9,218.54,24.28,22,2.44,27.44,1111.67,3.82,36.11,100.0,22.22,77.78,Mercado físico,Ropa casual,Reducir consumo,Masculino,Facebook
Chile,2001,10,239.71,23.97,28,2.8,26.0,1143.4,4.39,29.4,80.0,20.0,40.0,Mercado físico,Ropa formal,Ahorro económico,Masculino,Facebook
Chile,2002,13,301.01,23.15,45,3.46,23.15,1030.31,5.75,31.92,92.31,30.77,46.15,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,Facebook
Chile,2003,5,168.53,33.71,12,2.4,28.0,1010.8,4.22,21.0,100.0,20.0,60.0,Mercado físico,Ropa vintage,Moda única/vintage,Femenino,Instagram
Chile,2004,7,298.51,42.64,20,2.86,26.14,1277.0,4.67,27.57,85.71,0.0,71.43,Intercambio entre amigos,Calzado,Sostenibilidad ambiental,Femenino,Facebook
Chile,2005,8,314.39,39.3,26,3.25,21.0,1064.38,3.04,25.62,100.0,37.5,75.0,Mercado físico,Calzado,Ahorro económico,Masculino,Instagram
Chile,2006,9,282.66,31.41,25,2.78,27.78,1194.0,3.23,28.67,88.89,11.11,66.67,Mercado físico,Calzado,Sostenibilidad ambiental,Femenino,Instagram
Chile,2007,8,236.81,29.6,31,3.88,30.12,1022.0,4.5,26.75,87.5,12.5,62.5,Mercado físico,Calzado,Ahorro económico,Femenino,Instagram
Chile,2008,5,235.88,47.18,24,4.8,30.2,1233.6,7.5,19.8,80.0,20.0,80.0,Feria local,Ropa casual,Sostenibilidad ambiental,Masculino,WhatsApp
Chile,2009,6,208.95,34.83,35,5.83,25.67,1250.5,4.47,23.33,83.33,33.33,33.33,Mercado físico,Ropa vintage,Moda única/vintage,Femenino,Instagram
Chile,2010,9,389.38,43.26,45,5.0,31.11,972.33,4.49,43.33,77.78,11.11,88.89,Mercado físico,Ropa formal,Sostenibilidad ambiental,Femenino,Instagram
Chile,2011,11,553.11,50.28,44,4.0,33.45,1061.18,5.01,29.73,81.82,9.09,63.64,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
Chile,2012,15,668.8,44.59,57,3.8,29.6,1100.33,5.42,25.33,66.67,0.0,66.67,Feria local,Accesorios,Ahorro económico,Masculino,WhatsApp
Chile,2013,11,435.86,39.62,46,4.18,23.45,1096.73,8.54,36.09,90.91,18.18,54.55,Mercado físico,Ropa formal,Moda única/vintage,Femenino,Instagram
Chile,2014,12,627.92,52.33,59,4.92,27.92,938.83,4.53,36.83,83.33,16.67,66.67,Feria local,Accesorios,Ahorro económico,Masculino,TikTok
Chile,2015,17,943.26,55.49,93,5.47,27.88,1091.0,3.52,22.65,76.47,0.0,76.47,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
Chile,2016,27,1297.74,48.06,135,5.0,26.56,1073.56,5.25,23.78,81.48,7.41,62.96,Mercado físico,Ropa formal,Ahorro económico,Femenino,Instagram
Chile,2017,21,1314.54,62.6,117,5.57,27.0,977.67,5.93,36.67,80.95,14.29,66.67,Tienda online,Ropa vintage,Moda única/vintage,Masculino,TikTok
Chile,2018,20,1074.43,53.72,88,4.4,25.55,900.15,6.41,27.6,80.0,15.0,55.0,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
Chile,2019,31,1688.59,54.47,136,4.39,29.94,1131.26,3.16,29.71,77.42,12.9,61.29,Redes sociales,Accesorios,Ahorro económico,Femenino,Instagram
Chile,2020,20,1065.66,53.28,105,5.25,30.65,1101.65,6.52,28.8,85.0,25.0,75.0,Redes sociales,Calzado,Sostenibilidad ambiental,Femenino,Instagram
Chile,2021,35,2091.55,59.76,181,5.17,26.14,1127.31,3.69,30.23,85.71,11.43,60.0,Tienda online,Ropa casual,Ahorro económico,Femenino,TikTok
Chile,2022,29,1807.81,62.34,157,5.41,26.97,1002.69,5.36,27.14,79.31,17.24,72.41,Aplicación móvil,Ropa vintage,Ahorro económico,Femenino,Instagram
Chile,2023,39,2222.71,56.99,245,6.28,26.9,1076.85,4.43,30.64,79.49,10.26,71.79,Aplicación móvil,Ropa casual,Ahorro económico,Masculino,Instagram
Chile,2024,43,2694.42,62.66,216,5.02,28.0,1148.4,5.37,27.44,86.05,11.63,55.81,Tienda online,Calzado,Ahorro económico,Femenino,Instagram
Chile,2025,41,2531.59,61.75,185,4.51,25.56,1116.93,4.23,32.32,82.93,19.51,53.66,Tienda online,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Chile,2026,34,2334.93,68.67,201,5.91,28.82,1116.85,5.0,36.29,82.35,8.82,61.76,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
Colombia,2000,5,156.76,31.35,9,1.8,23.8,1100.8,3.12,22.2,80.0,0.0,20.0,Mercado físico,Ropa formal,Sostenibilidad ambiental,Femenino,Facebook
Colombia,2001,6,215.04,35.84,20,3.33,27.5,1171.83,4.28,36.83,100.0,0.0,50.0,Feria local,Ropa deportiva,Sostenibilidad ambiental,Femenino,Instagram
Colombia,2002,9,193.27,21.47,29,3.22,27.33,1135.33,4.17,32.0,55.56,22.22,77.78,Mercado físico,Ropa deportiva,Ahorro económico,Femenino,TikTok
Colombia,2003,17,512.5,30.15,49,2.88,26.53,1189.88,3.67,28.59,94.12,17.65,52.94,Mercado físico,Ropa deportiva,Sostenibilidad ambiental,Masculino,WhatsApp
Colombia,2004,8,220.83,27.6,27,3.38,30.5,1097.0,4.49,35.5,75.0,12.5,87.5,Mercado físico,Calzado,Sostenibilidad ambiental,Femenino,Instagram
Colombia,2005,8,359.55,44.94,27,3.38,30.12,1179.62,3.76,32.38,37.5,12.5,87.5,Mercado físico,Ropa formal,Moda única/vintage,Masculino,Facebook
Colombia,2006,1,20.57,20.57,3,3.0,28.0,1255.0,1.2,50.0,100.0,0.0,100.0,Mercado físico,Calzado,Reducir consumo,Masculino,Ninguna
Colombia,2007,8,362.87,45.36,28,3.5,27.25,1049.12,4.8,29.5,100.0,12.5,87.5,Intercambio entre amigos,Ropa casual,Tendencia social,Masculino,TikTok
Colombia,2008,4,135.18,33.8,7,1.75,24.0,1073.0,6.58,35.25,75.0,0.0,50.0,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,Instagram
Colombia,2009,7,264.2,37.74,29,4.14,23.71,1033.43,11.13,24.57,85.71,14.29,85.71,Mercado físico,Accesorios,Ahorro económico,Femenino,Ninguna
Colombia,2010,11,398.25,36.2,49,4.45,28.18,997.45,4.35,32.0,63.64,45.45,72.73,Tienda online,Calzado,Sostenibilidad ambiental,Femenino,Twitter/X
Colombia,2011,5,235.63,47.13,24,4.8,27.6,964.2,8.08,24.2,100.0,40.0,40.0,Mercado físico,Ropa casual,Ahorro económico,Femenino,Facebook
Colombia,2012,5,221.12,44.22,24,4.8,27.4,1096.6,7.02,30.6,60.0,0.0,80.0,Feria local,Ropa formal,Moda única/vintage,Femenino,WhatsApp
Colombia,2013,14,614.68,43.91,63,4.5,27.93,994.79,4.16,18.86,100.0,35.71,57.14,Mercado físico,Ropa vintage,Sostenibilidad ambiental,Femenino,Facebook
Colombia,2014,17,853.99,50.23,68,4.0,27.71,1053.29,5.49,30.18,70.59,17.65,52.94,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Colombia,2015,8,505.15,63.14,30,3.75,28.12,1272.12,4.32,19.75,87.5,0.0,37.5,Mercado físico,Ropa deportiva,Ahorro económico,Masculino,Ninguna
Colombia,2016,11,583.36,53.03,49,4.45,29.82,1090.73,5.14,32.18,90.91,27.27,63.64,Feria local,Accesorios,Ahorro económico,Femenino,TikTok
Colombia,2017,20,1078.79,53.94,109,5.45,25.25,980.9,5.74,26.45,90.0,5.0,60.0,Redes sociales,Calzado,Ahorro económico,Masculino,Facebook
Colombia,2018,31,1797.73,57.99,153,4.94,28.23,1041.87,3.88,30.26,74.19,12.9,74.19,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
Colombia,2019,26,1424.06,54.77,132,5.08,26.12,1064.19,3.69,34.62,84.62,19.23,69.23,Feria local,Ropa de diseñador,Sostenibilidad ambiental,Femenino,Instagram
Colombia,2020,30,1545.19,51.51,145,4.83,27.5,1077.57,4.89,25.67,83.33,23.33,73.33,Aplicación móvil,Ropa formal,Ahorro económico,Femenino,Instagram
Colombia,2021,22,1329.77,60.44,128,5.82,30.0,1196.82,4.84,37.27,77.27,18.18,50.0,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
Colombia,2022,51,3244.26,63.61,259,5.08,28.22,1102.61,4.52,29.22,90.2,19.61,54.9,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
Colombia,2023,39,2513.9,64.46,197,5.05,27.72,1131.62,3.99,32.05,82.05,17.95,53.85,Redes sociales,Ropa vintage,Ahorro económico,Femenino,Instagram
Colombia,2024,52,3576.38,68.78,276,5.31,29.25,1081.85,4.82,31.75,71.15,9.62,55.77,Redes sociales,Ropa de diseñador,Sostenibilidad ambiental,Femenino,Instagram
Colombia,2025,41,2705.64,65.99,222,5.41,29.1,1106.32,3.96,29.68,80.49,14.63,73.17,Tienda online,Ropa deportiva,Ahorro económico,Femenino,Instagram
Colombia,2026,35,2448.07,69.94,188,5.37,28.51,1102.51,5.32,25.03,68.57,14.29,68.57,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
Ecuador,2000,5,126.17,25.23,15,3.0,34.8,1271.2,2.66,46.0,100.0,0.0,60.0,Mercado físico,Ropa de diseñador,Tendencia social,Femenino,TikTok
Ecuador,2001,3,95.27,31.76,10,3.33,29.33,941.67,2.33,47.33,100.0,0.0,100.0,Intercambio entre amigos,Accesorios,Tendencia social,Femenino,Facebook
Ecuador,2002,8,352.13,44.02,35,4.38,30.38,1151.5,3.46,34.75,100.0,0.0,62.5,Mercado físico,Ropa de diseñador,Moda única/vintage,Masculino,Pinterest
Ecuador,2003,7,291.49,41.64,18,2.57,32.0,1019.86,8.87,30.43,85.71,28.57,57.14,Feria local,Calzado,Tendencia social,Femenino,WhatsApp
Ecuador,2004,10,342.56,34.26,35,3.5,27.8,1063.0,4.51,28.6,100.0,10.0,60.0,Intercambio entre amigos,Ropa vintage,Ahorro económico,Masculino,Ninguna
Ecuador,2005,6,267.56,44.59,28,4.67,32.0,1005.0,5.48,25.0,83.33,33.33,66.67,Mercado físico,Ropa casual,Ahorro económico,Femenino,TikTok
Ecuador,2006,11,356.06,32.37,39,3.55,26.45,1037.36,3.85,25.45,81.82,27.27,81.82,Mercado físico,Ropa deportiva,Ahorro económico,Femenino,WhatsApp
Ecuador,2007,4,182.16,45.54,19,4.75,26.75,1331.5,6.72,37.5,75.0,0.0,50.0,Feria local,Ropa casual,Tendencia social,Femenino,TikTok
Ecuador,2008,10,424.81,42.48,40,4.0,25.3,998.8,5.97,32.8,80.0,10.0,50.0,Feria local,Accesorios,Ahorro económico,Masculino,Facebook
Ecuador,2009,9,305.1,33.9,39,4.33,31.78,1201.33,3.37,37.89,77.78,0.0,55.56,Mercado físico,Ropa vintage,Ahorro económico,Masculino,Facebook
Ecuador,2010,7,344.2,49.17,26,3.71,28.86,1178.57,3.86,31.57,85.71,14.29,42.86,Mercado físico,Accesorios,Ahorro económico,Femenino,Facebook
Ecuador,2011,7,311.94,44.56,25,3.57,28.29,887.71,3.84,35.86,100.0,28.57,28.57,Feria local,Ropa de diseñador,Sostenibilidad ambiental,Femenino,TikTok
Ecuador,2012,12,505.1,42.09,47,3.92,22.83,932.08,6.48,25.17,66.67,8.33,66.67,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,WhatsApp
Ecuador,2013,9,391.11,43.46,41,4.56,30.78,927.11,2.12,30.56,100.0,0.0,66.67,Tienda online,Ropa vintage,Sostenibilidad ambiental,Femenino,Facebook
Ecuador,2014,14,672.02,48.0,61,4.36,29.29,1080.86,4.14,30.71,64.29,7.14,71.43,Feria local,Calzado,Ahorro económico,Femenino,TikTok
Ecuador,2015,14,713.66,50.98,57,4.07,33.43,1181.07,7.07,26.14,78.57,7.14,42.86,Tienda online,Ropa vintage,Ahorro económico,Femenino,TikTok
Ecuador,2016,21,1172.49,55.83,99,4.71,29.52,1135.1,2.78,27.9,80.95,19.05,61.9,Feria local,Accesorios,Ahorro económico,Femenino,TikTok
Ecuador,2017,22,1118.51,50.84,108,4.91,25.77,1114.59,3.67,36.14,68.18,36.36,72.73,Tienda online,Ropa deportiva,Ahorro económico,Femenino,TikTok
Ecuador,2018,23,1234.33,53.67,100,4.35,27.87,1085.74,3.87,27.74,82.61,17.39,78.26,Tienda online,Calzado,Ahorro económico,Masculino,Instagram
Ecuador,2019,22,1216.68,55.3,108,4.91,27.82,1085.09,5.17,33.32,86.36,22.73,59.09,Tienda online,Ropa de diseñador,Reducir consumo,Femenino,Instagram
Ecuador,2020,33,1865.04,56.52,169,5.12,28.18,973.97,5.55,29.91,78.79,9.09,66.67,Aplicación móvil,Ropa deportiva,Sostenibilidad ambiental,Femenino,Instagram
Ecuador,2021,31,1957.83,63.16,181,5.84,27.06,1173.35,4.58,34.26,77.42,16.13,67.74,Aplicación móvil,Ropa deportiva,Ahorro económico,Femenino,Facebook
Ecuador,2022,44,2756.94,62.66,222,5.05,25.73,1049.05,6.38,28.32,79.55,22.73,56.82,Tienda online,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Ecuador,2023,45,2754.05,61.2,249,5.53,27.67,1043.09,5.34,31.82,68.89,6.67,66.67,Redes sociales,Accesorios,Ahorro económico,Femenino,Instagram
Ecuador,2024,49,3061.16,62.47,267,5.45,27.45,1154.8,5.8,33.88,85.71,8.16,59.18,Tienda online,Ropa vintage,Ahorro económico,Masculino,Instagram
Ecuador,2025,44,2862.6,65.06,271,6.16,25.18,1057.07,3.78,28.02,86.36,20.45,63.64,Redes sociales,Ropa vintage,Ahorro económico,Femenino,Facebook
Ecuador,2026,35,2360.34,67.44,206,5.89,29.54,1005.77,5.81,31.89,82.86,14.29,57.14,Tienda online,Ropa de diseñador,Ahorro económico,Femenino,Instagram
España,2000,14,451.77,32.27,51,3.64,24.71,887.93,5.74,35.64,78.57,14.29,57.14,Feria local,Ropa de diseñador,Sostenibilidad ambiental,Femenino,TikTok
España,2001,4,149.06,37.26,12,3.0,33.5,1100.0,5.65,34.75,100.0,25.0,25.0,Intercambio entre amigos,Ropa vintage,Ahorro económico,Masculino,Instagram
España,2002,8,223.4,27.92,21,2.62,27.0,952.38,5.12,24.88,50.0,12.5,50.0,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Instagram
España,2003,9,286.65,31.85,35,3.89,28.44,1093.44,6.77,25.78,100.0,0.0,88.89,Mercado físico,Ropa casual,Sostenibilidad ambiental,Femenino,Pinterest
España,2004,8,365.22,45.65,27,3.38,29.0,1215.25,5.71,23.0,87.5,12.5,87.5,Mercado físico,Ropa casual,Sostenibilidad ambiental,Masculino,Instagram
España,2005,11,347.35,31.58,29,2.64,23.73,1091.27,8.96,33.91,54.55,9.09,63.64,Mercado físico,Ropa de diseñador,Moda única/vintage,Masculino,Facebook
España,2006,5,206.82,41.36,21,4.2,23.2,1247.8,3.4,23.2,80.0,20.0,60.0,Mercado físico,Calzado,Ahorro económico,Masculino,TikTok
España,2007,9,352.39,39.15,33,3.67,30.44,1262.11,4.81,41.67,88.89,0.0,44.44,Feria local,Ropa formal,Ahorro económico,Femenino,TikTok
España,2008,15,608.26,40.55,53,3.53,24.27,981.13,3.35,18.6,86.67,13.33,66.67,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Ninguna
España,2009,7,234.93,33.56,37,5.29,24.57,996.86,6.24,33.29,71.43,42.86,57.14,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,TikTok
España,2010,6,337.1,56.18,25,4.17,37.5,1267.5,6.07,22.33,83.33,16.67,66.67,Feria local,Ropa formal,Ahorro económico,Masculino,TikTok
España,2011,8,479.41,59.93,36,4.5,31.88,1034.75,5.1,28.5,100.0,12.5,75.0,Mercado físico,Ropa deportiva,Ahorro económico,Masculino,Instagram
España,2012,10,495.58,49.56,63,6.3,30.1,856.1,3.55,18.6,70.0,10.0,60.0,Intercambio entre amigos,Calzado,Sostenibilidad ambiental,Femenino,Instagram
España,2013,12,536.67,44.72,42,3.5,30.33,932.83,5.07,35.25,66.67,8.33,58.33,Feria local,Accesorios,Ahorro económico,Femenino,TikTok
España,2014,13,623.3,47.95,58,4.46,30.31,1315.62,3.19,35.31,76.92,15.38,61.54,Aplicación móvil,Ropa deportiva,Moda única/vintage,Masculino,WhatsApp
España,2015,18,858.26,47.68,87,4.83,25.39,1132.06,3.92,28.33,94.44,0.0,44.44,Mercado físico,Ropa de diseñador,Tendencia social,Femenino,WhatsApp
España,2016,10,564.7,56.47,48,4.8,28.7,1041.4,6.93,29.5,60.0,0.0,60.0,Mercado físico,Ropa vintage,Tendencia social,Femenino,Instagram
España,2017,17,938.05,55.18,77,4.53,26.24,1016.18,4.85,33.82,88.24,17.65,76.47,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
España,2018,26,1561.33,60.05,136,5.23,27.81,1014.12,3.88,29.04,80.77,23.08,65.38,Mercado físico,Ropa vintage,Ahorro económico,Masculino,TikTok
España,2019,18,870.31,48.35,82,4.56,24.94,1067.83,4.02,27.56,72.22,33.33,50.0,Aplicación móvil,Ropa vintage,Ahorro económico,Masculino,Instagram
España,2020,28,1516.14,54.15,142,5.07,27.93,1043.25,4.7,24.79,67.86,10.71,50.0,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
España,2021,39,2426.28,62.21,210,5.38,26.79,1036.46,5.12,30.31,79.49,20.51,51.28,Aplicación móvil,Ropa deportiva,Ahorro económico,Femenino,TikTok
